symbol,open_price,high_price,low_price,prev_price,ltp,perChange,trade_quantity,turnover
ADANIENT,2959.9,3142,2935.2,2953.1,3104.7,5.13,5320594,164066.90070280002
PAYTM,1677,1758.9,1676.1,1670,1751.5,4.88,8247684,143240.00233319998
MAXHEALTH,992.7,1040.4,992.2,993,1037.5,4.48,4591285,47341.657891999996
ADANIPORTS,1719,1785.9,1706,1710,1775,3.8,5527528,97093.24033120001
ADANIPOWER,207.1,216.1,206.5,208.4,214.9,3.12,33227588,70827.9265808
BHEL,422.15,436,421.65,422.15,433.7,2.74,8487227,36573.1585884
CUMMINSIND,5020,5182.5,5020,5040,5170.5,2.59,373017,19190.4563922
COALINDIA,420.85,435.35,419.8,420.25,431,2.56,22791556,98552.96729959999
SWIGGY,274,285.55,271.8,275.7,282.75,2.56,23545618,65805.2931864
TATASTEEL,184.8,190.26,183.41,184.15,188.75,2.5,45985325,86268.4697
INOXWIND,75.5,77.62,75.5,75.71,77.39,2.22,18491767,14190.5819958
COCHINSHIP,1528.2,1562,1502.1,1528.2,1556,1.82,1253871,19302.4663353
CGPOWER,910.7,930.55,910,910.7,926.95,1.78,3454657,31881.6475902
ADANIGREEN,1290.5,1339.7,1290,1292,1315,1.78,2491107,32933.6800935
NATIONALUM,372,386,371.65,371.05,377.6,1.77,9139475,34717.209735
HINDALCO,1013.9,1032.4,1010.7,1009,1026.9,1.77,3255790,33349.05697
GMRAIRPORT,97.02,98.73,96.26,97,98.65,1.7,11994804,11732.1177924
HINDZINC,595,608.75,593.1,595.5,605.4,1.66,6313228,38087.704524
CONCOR,502,512.45,499.5,502,510,1.59,1057889,5373.8645422
JSWENERGY,526.5,541.7,521.5,526.5,534.8,1.58,2167753,11617.6386529
