symbol,open_price,high_price,low_price,prev_price,ltp,perChange,trade_quantity,turnover
ADANIENT,2959.9,3142,2935.2,2953.1,3104.7,5.13,5320594,164066.90070280002
MAXHEALTH,992.7,1040.4,992.2,993,1037.5,4.48,4591285,47341.657891999996
ADANIPORTS,1719,1785.9,1706,1710,1775,3.8,5527528,97093.24033120001
COALINDIA,420.85,435.35,419.8,420.25,431,2.56,22791556,98552.96729959999
TATASTEEL,184.8,190.26,183.41,184.15,188.75,2.5,45985325,86268.4697
HINDALCO,1013.9,1032.4,1010.7,1009,1026.9,1.77,3255790,33349.05697
APOLLOHOSP,8825,8974.5,8803.5,8837.5,8967,1.47,375525,33558.6038625
NTPC,331.1,337.5,330.9,330.8,334.5,1.12,11795145,39504.299634
JSWSTEEL,1303.9,1313,1290.1,1297.3,1310,0.98,1484708,19366.6796228
TRENT,2793.6,2841.8,2782,2793.6,2820,0.95,601991,16967.2969323
TITAN,5010,5019,4968,4987,5005,0.36,502050,25080.158775
ASIANPAINT,2459.1,2489,2457.4,2481.6,2489,0.3,432840,10715.60346
POWERGRID,265,269.25,264.5,265.75,265.85,0.04,11738891,31307.622296999998
