symbol,open_price,high_price,low_price,prev_price,ltp,perChange,trade_quantity,turnover
SHIVALIK,322,384.9,318.3,320.75,384.9,20,471778,1732.3216381999998
GOACARBON,400,463.5,400,386.25,463.5,20,1188458,5381.2189782000005
SREEL,288,345.01,287.5,287.51,345.01,20,635232,2134.8241824
NOVARTIND,1873.7,2186.4,1851,1822,2186.4,20,785816,16347.1730848
BALPHARMA,95.1,114.45,95.1,95.38,114.45,19.99,782802,859.4383157999999
INDNIPPON,1120.1,1346.7,1111.2,1122.3,1346.7,19.99,1613322,20564.8542018
CFEL,32.5,38.65,32.05,32.21,38.65,19.99,147540,55.03242
MEDICAPQ,27.72,30.74,26.99,25.62,30.74,19.98,101210,30.595782999999997
ANMOL,11.48,13.65,11.05,11.38,13.65,19.95,2032233,269.6773191
PKTEA,976.85,1160,880,972.75,1155,18.74,59199,634.4416029
BIL,938.4,1124.2,915.1,936.85,1107.05,18.17,191572,2076.4872224
WHEELS,2110,2450,2110,2106.4,2450,16.31,6608762,156296.5604238
ASTEC,691,779.35,690,662.8,766.5,15.65,5356635,40309.2140385
GRAPHITE,812.9,874.35,775,734.25,843,14.81,36292952,306094.757168
LADDERUP,45.85,54.22,45.85,45.19,51.79,14.61,11637,5.9953824
RPPINFRA,54,63.62,53,53.68,61.5,14.57,1013641,612.239164
RESPONIND,147.15,175.2,144.88,148.23,168.5,13.67,12729406,21442.684407
MOLBIO,1119,1293.5,1111.5,1117.5,1268.8,13.54,9414132,117849.8700288
INDORAMA,75.3,88.2,72.76,74.98,85,13.36,7613089,6340.180519199999
CHEMBOND,204.6,236.8,200.5,197.72,221.3,11.93,338501,763.9290568000001
