symbol,open_price,high_price,low_price,prev_price,ltp,perChange,trade_quantity,turnover
COFORGE,1815.5,1877.6,1780.7,1950,1845,-5.38,10837239,199614.3563127
INFY,1059,1059,1026.5,1082,1035,-4.34,13530457,140482.67589389998
LODHA,1203.5,1213.3,1161,1212,1166,-3.8,1560777,18444.4821975
HDFCLIFE,533.7,534.6,508.95,533.8,514,-3.71,9024185,46698.352538
HCLTECH,1248.8,1264.8,1222.7,1277,1229.8,-3.7,2099173,25935.7022496
TECHM,1531,1531,1498,1559,1508,-3.27,1329200,20046.86148
TATAELXSI,3452.5,3459.9,3380,3492,3383,-3.12,246727,8415.6359157
BSE,3301,3319.9,3268.2,3394,3289.8,-3.07,4365902,143695.36911620002
DLF,670.2,672.1,654.7,675.1,655.1,-2.96,17000327,113359.88046870001
MUTHOOTFIN,2854.1,2865.3,2795.6,2899.7,2815,-2.92,1027017,29029.9706271
NBCC,85.3,85.52,83.5,86,83.6,-2.79,5699936,4800.4860992
WIPRO,168.7,169.15,166.37,171.5,167,-2.62,12001620,20127.916902
GODREJPROP,1905.5,1908.2,1855,1906.6,1857.1,-2.6,538632,10117.7712144
PERSISTENT,5490,5490,5372.5,5560,5419,-2.54,599190,32539.132788000003
MOTILALOFS,1049.5,1049.6,1019,1051.5,1025,-2.52,489071,5047.1149058
UNITDSPR,1438,1439.9,1395.2,1440,1405.2,-2.42,493439,6933.5087646
MAZDOCK,2451,2461.2,2395,2466.4,2408.8,-2.34,563605,13633.717670999999
HDFCBANK,698,700,687.1,703,687.1,-2.26,39173990,271659.868453
CDSL,1393,1393,1360,1400,1368.6,-2.24,1314059,18026.3927679
HEROMOTOCO,5266.5,5297,5205.5,5333.5,5218,-2.17,532099,27889.0645167
