symbol,open_price,high_price,low_price,prev_price,ltp,perChange,trade_quantity,turnover
INFY,1059,1059,1026.5,1082,1035,-4.34,13530457,140482.67589389998
HDFCLIFE,533.7,534.6,508.95,533.8,514,-3.71,9024185,46698.352538
HCLTECH,1248.8,1264.8,1222.7,1277,1229.8,-3.7,2099173,25935.7022496
TECHM,1531,1531,1498,1559,1508,-3.27,1329200,20046.86148
WIPRO,168.7,169.15,166.37,171.5,167,-2.62,12001620,20127.916902
HDFCBANK,698,700,687.1,703,687.1,-2.26,39173990,271659.868453
TCS,2237,2237,2193.2,2255.5,2208,-2.11,3370071,74391.2842611
HINDUNILVR,1973,1979.6,1936,1980,1945,-1.77,1455307,28349.2348293
BHARTIARTL,1830.5,1834.8,1813,1844,1814.7,-1.59,5574027,101655.7600098
CIPLA,1380,1388.7,1363.1,1384,1363.1,-1.51,818773,11238.8875845
BAJFINANCE,1045.1,1060.1,1038.5,1054.1,1039.3,-1.4,9244698,96837.28708020001
TATACONSUM,1010.8,1013.7,1001,1014.1,1001,-1.29,973918,9813.684727
KOTAKBANK,418.2,420.65,413.95,419.25,414,-1.25,10886349,45225.1596507
RELIANCE,1283.5,1294.7,1277.2,1294.9,1279,-1.23,12152819,156279.1759305
TMPV,306.45,306.45,300.8,306.45,303,-1.13,6971556,21146.123659200002
SUNPHARMA,1892.6,1898.6,1864.9,1885.9,1864.9,-1.11,1396896,26165.8177344
BEL,411.55,413.85,406,410.55,406,-1.11,10899391,44526.1921132
ITC,263.65,264.5,260.2,263.5,260.8,-1.02,10065188,26366.7664848
ULTRACEMCO,10975,10998,10860,11009,10900,-0.99,325637,35589.8120773
JIOFIN,232.5,232.97,230.63,233.15,231,-0.92,10774282,24935.9982608
