symbol,open_price,high_price,low_price,prev_price,ltp,perChange,trade_quantity,turnover
MONEYBOXX,57,57,44.81,56.01,44.81,-20,349519,163.01566160000002
ATALREAL,16.96,16.96,16.96,21.2,16.96,-20,701191,118.9219936
MEDICO,39.23,39.24,34.11,39.28,35.14,-10.54,2383216,860.1026544
DCI,301.95,302.05,270.2,300.75,270.3,-10.12,1464705,4040.3887425
DAVANGERE,1.96,2.02,1.74,1.93,1.74,-9.84,161998621,2996.9744885000005
NGIL,37.36,39.75,34.75,37.73,34.75,-7.9,43179,15.7560171
ANSALBU,82.5,82.5,75,82.5,76,-7.88,667,0.5199932
JOCIL,163.99,164,145.26,164.29,151.7,-7.66,30735,46.987668
THAKDEV,148,148,137,148,137,-7.43,17,0.0249696
AGROPHOS,23.45,23.89,21,23.44,21.7,-7.42,143020,31.936366
GSPCROP,524.85,531.4,479.95,531,491.65,-7.41,1797785,8885.013027
GKB,72,74,65,71.52,66.39,-7.17,17482,11.5153934
XPROINDIA,1393.8,1393.8,1291.8,1389.7,1295.4,-6.79,85041,1122.6687615
ATLASCYCLE,116,116,105,113.03,105.51,-6.65,180895,199.925154
KIRIINDUS,596.05,600.5,546.6,588.1,550.7,-6.36,2378104,13625.1090576
SARVESHWAR,4.16,4.17,3.74,4.03,3.78,-6.2,7131865,281.7086675
LCCINFOTEC,3.9,3.9,3.5,3.73,3.5,-6.17,148243,5.2774507999999996
MAHAPEXLTD,55.03,55.03,50.76,55.41,52.01,-6.14,61068,31.9813116
KHANDSE,18.4,18.4,17.01,18.2,17.11,-5.99,1179,0.2095083
ALPINETEX,61.95,62.9,57.8,62.6,58.87,-5.96,195019,118.68856339999999
