hs_code,level,description,parent,chapter,section,section_name
01,2,Animals; live,TOTAL,01,I,live animals; animal products
02,2,Meat and edible meat offal,TOTAL,02,I,live animals; animal products
03,2,"Fish and crustaceans, molluscs and other aquatic invertebrates",TOTAL,03,I,live animals; animal products
04,2,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",TOTAL,04,I,live animals; animal products
05,2,Animal originated products; not elsewhere specified or included,TOTAL,05,I,live animals; animal products
06,2,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",TOTAL,06,II,Vegetable products
07,2,Vegetables and certain roots and tubers; edible,TOTAL,07,II,Vegetable products
08,2,"Fruit and nuts, edible; peel of citrus fruit or melons",TOTAL,08,II,Vegetable products
09,2,"Coffee, tea, mate and spices",TOTAL,09,II,Vegetable products
10,2,Cereals,TOTAL,10,II,Vegetable products
11,2,"Products of the milling industry; malt, starches, inulin, wheat gluten",TOTAL,11,II,Vegetable products
12,2,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",TOTAL,12,II,Vegetable products
13,2,"Lac; gums, resins and other vegetable saps and extracts",TOTAL,13,II,Vegetable products
14,2,Vegetable plaiting materials; vegetable products not elsewhere specified or included,TOTAL,14,II,Vegetable products
15,2,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",TOTAL,15,III,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
16,2,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",TOTAL,16,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
17,2,Sugars and sugar confectionery,TOTAL,17,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
18,2,Cocoa and cocoa preparations,TOTAL,18,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
19,2,"Preparations of cereals, flour, starch or milk; pastrycooks' products",TOTAL,19,IV,"Prepared foodstuffs; beverages, spirits and vinegar; tobacco and manufactured tobacco substitutes"
